Book Name,Price,Rating,Url
Applied Longitudinal Data Analysis: Modeling Change and Event Occurrence,$92.82,4.5 out of 5 stars,https://www.amazon.com/Applied-Longitudinal-Data-Analysis-Occurrence/dp/0195152964/ref=sr_1_86?crid=27E68Q3L17CGO&keywords=data+analysis&qid=1639660332&sprefix=data+%2Caps%2C420&sr=8-86
Dyadic Data Analysis (Methodology in the Social Sciences),$45.00,4.5 out of 5 stars,https://www.amazon.com/Dyadic-Analysis-Methodology-Social-Sciences/dp/1462546137/ref=sr_1_87?crid=27E68Q3L17CGO&keywords=data+analysis&qid=1639660332&sprefix=data+%2Caps%2C420&sr=8-87
Analyzing Neural Time Series Data: Theory and Practice (The MIT Press),$70.00,4.7 out of 5 stars,https://www.amazon.com/Analyzing-Neural-Time-Data-Practice/dp/0262019876/ref=sr_1_88?crid=27E68Q3L17CGO&keywords=data+analysis&qid=1639660332&sprefix=data+%2Caps%2C420&sr=8-88
"Epidemiology: Study Design and Data Analysis, Third Edition (Chapman & Hall/CRC Texts in Statistical Science)",$84.97,4.5 out of 5 stars,https://www.amazon.com/Epidemiology-Analysis-Chapman-Statistical-Science/dp/1439839700/ref=sr_1_89?crid=27E68Q3L17CGO&keywords=data+analysis&qid=1639660332&sprefix=data+%2Caps%2C420&sr=8-89
Adjustment Computations: Spatial Data Analysis,$154.00,4.5 out of 5 stars,https://www.amazon.com/Adjustment-Computations-Spatial-Data-Analysis-ebook/dp/B07666XDCC/ref=sr_1_90?crid=27E68Q3L17CGO&keywords=data+analysis&qid=1639660332&sprefix=data+%2Caps%2C420&sr=8-90
Exploratory Data Analysis (Classic Version) (Pearson Modern Classic),$90.66,4.8 out of 5 stars,https://www.amazon.com/Exploratory-Data-Analysis-Classic-Version/dp/0134995457/ref=sr_1_91?crid=27E68Q3L17CGO&keywords=data+analysis&qid=1639660332&sprefix=data+%2Caps%2C420&sr=8-91
Recovering Black Storytelling in Qualitative Research (Futures of Data Analysis in Qualitative Research),$48.95,5.0 out of 5 stars,https://www.amazon.com/Recovering-Storytelling-Qualitative-Research-Analysis/dp/0367747332/ref=sr_1_92?crid=27E68Q3L17CGO&keywords=data+analysis&qid=1639660332&sprefix=data+%2Caps%2C420&sr=8-92
Individual Participant Data Meta-Analysis: A Handbook for Healthcare Research (Statistics in Practice),$73.41, ,https://www.amazon.com/Evidence-Synthesis-Individual-Participant-Statistics/dp/1119333725/ref=sr_1_93?crid=27E68Q3L17CGO&keywords=data+analysis&qid=1639660332&sprefix=data+%2Caps%2C420&sr=8-93
Regression Analysis: An Intuitive Guide for Using and Interpreting Linear Models,$24.99,4.6 out of 5 stars,https://www.amazon.com/Regression-Analysis-Intuitive-Interpreting-Linear/dp/1735431184/ref=sr_1_94?crid=27E68Q3L17CGO&keywords=data+analysis&qid=1639660332&sprefix=data+%2Caps%2C420&sr=8-94
"Introduction to Mediation, Moderation, and Conditional Process Analysis, Second Edition: A Regression-Based Approach (Methodology in the Social Sciences)",$37.94,4.7 out of 5 stars,https://www.amazon.com/Introduction-Mediation-Moderation-Conditional-Analysis/dp/1462534651/ref=sr_1_96?crid=27E68Q3L17CGO&keywords=data+analysis&qid=1639660332&sprefix=data+%2Caps%2C420&sr=8-96
